Last name;First name;Excluded;DHCJ;Lisiak;Schuppener
A;François-Xavier;;;;
Abad;Diego Joseph;;;;
Abreu;Sébastien d’;;;;
Adanyi;André;;;;
Adriaensens;Corneille;;;;
Agosti;Joseph;;;;
Agostini;Joseph;;;;
Agricola;Joseph;;;;
Aguilon;François d’;;x;;
Aguirre;Jean;;;;
Aigenler;Adam;;;;
Aix;François d’;;;;
Akai;Christophe;;;;
Alagona;Pierre;;;;
Alamanni;Basile;;;;
Alauze;Jacques;;;;
Albayzeta;Isidore;;;;
Albertis;Albert;;;;
Alcazar;Barthélemi;;;;
Alciati;Térence;;;;
Alegre;François-Xavier;;x;;
Aleni;Jules;;;;
Alias;Vincent;;;;
Alvarez;Gaspar;;;;
Amato;Gaëtan de;;;;
Ambrogi;Antoine;;;;
Ambschell;Antoine;;;;
Amidani;Charles;x;;;
Amieu;Jean;;x;;
Amiot;Joseph Marie;;x;;
Amman;Césaire;;;;
Andrade;Louis;;;;
Andre;Yves;;;;
Andrian;Charles;;x;;
Ango;Pierre;;x;;
Anreiter;Thomas;;;;
Apfaltrer;Léopold;;;;
Appenzeller;Jean;;;;
Aquino;Charles d’;;x;;
Aquino;Jean;;;;
Aranha;Silvestre;;;;
Arbosch;Henri;;;;
Arce;Simon;;;;
Arena;Philippe;;x;;
Arendts;Jean-Baptiste;;;;
Arrighetti;Nicolas;;;;
Artal;Jean;x;;;
Arteta;Jean;;x;;
Arzet;Andre;;;;
Asclepi;Joseph Marie;;x;;
Attmayr;Sigismond;;;;
Aubert;Joseph Michel;;;;
Aynscom, Aynscombe;François-Xavier;;;;
Azzoni;François;;;;
Babin;Jacques Paul;;;;
Baegk;Théodoric;;;;
Baldanza;Ignace;;;;
Baldigiani;Antoine;;;;
Banholzer;Jean;;;;
Barbiano;Jean;;x;;
Barca;Joseph Marie;;;;
Bareges;Jean;;;;
Barth;Antoine;;;;
Barthe;Bernard;;;;
Bartoli;Daniel;;;;
Baucheron;Guillaume François;;;;
Baudoncq;Josse;;;;
Baudré;Vautrin;x;;;
Baumann;Christian;;;;
Bayle;Anselme;;;;
Beati;Gabriel;;x;;
Beccadelli;Achille;;;;
Bedekovics;Casimir;;x;;
Bednari;Michel;x;;;
Beerschmidt;George;;;;
Behm;George;;;;x
Belgrado;Jacques;;;;
Bellarmino;Robert;;x;;
Bellosier;Ignace;;;;
Benavente;Louis;;;;
Benevenuti;Charles;;;;
Benoist;Michel;;x;;
Béraud;Laurent;;x;;
Bergmann;Joseph;;;;x
Bernardus;Georges;;;;
Bertal;Etienne;;;;
Bertet;Jean;;;;
Berzeviczi;Henri;;;;
Bettinelli;Xavier;x;;;
Bettini;Mario;;;;
Bèze, Baize;Claude de;;x;;
Bialkowski;Nicolas Casimir;;;;
Biancani;Joseph;;x;;
Bidermann;Jacques;;x;;
Biedau;François;;;;
Biel;Joseph;;;;
Billiot;Jean-Baptiste;;;;
Billy;Jacques;;x;;
Bischoff;Engelbert;;;;
Bisciola;Lelius;x;;;
Bivero;Pierre de;x;;;
Biwald;Léopold;;x;;
Blanchard;Jean-Baptiste;;;;
Blundell;Thomas;;;;
Bobynet;Pierre;;;;
Boelmans;Guillaume;;x;;
Bohomolec;Jean;;;x;
Bolich;Blaise;;;;
Boll;Antoine;;;;
Bonapace;Jean Baptiste;;;;
Bonbardi;Michel;;;;
Bonfa;Jean;;x;;
Bonin;Julien;;;;
Bonnécamp;Pierre Jean de;;x;;
Bono;Michel del;x;;;
Borde;Jean-Baptiste de la;;;;
Borgondio;Horace;;x;;
Borrasa;Mathias;;;;
Borri, Burrus;Christophe;;;;
Boscovich;Roger Joseph;;x;;
Boslan;Joseph;;;;
Bottalla;;;;;
Boudier;Claude Stanislas;;;;
Bougeant;Guillaume Hyacinthe;;x;;
Bourdin;Pierre;;x;;
Bourgnon;Jacques;x;;;
Boutin;Pierre Aloys;;;;
Bovio;Pascal;;;;
Boym;Michel;;;;
Bressani;François Joseph;;x;;
Breton;Adrien le;;;;
Breuil;Jean du;;;;
Briga;Melchior dalla;;;;
Brockard;Aloys;;;;
Broglio;François;;;;
Brumoy;Pierre;;;;
Bruna;François-Xavier;;;;
Brunacci;Dominique;;;;
Brusæus, Busé;Jean (Buys);;;;
Brusati;Jules César;;;;
Brutscher;Jean;;;;
Buffier;Claude;;x;;
Buglio;Louis;;;;
Bunou;Jacques Philippe;;;;
Buonanni;Philippe;;x;;
Burriel;André Marc;;;;
Bystrzycki;Martin;;;x;
Bystrzonowski;Adalbert;;;x;
Bystrzycki;Jovien Frédéric;;;x;
Cabei;Nicolas;;x;;
Caesius;Bernard;;;;
Caffi;Antoine;;;;
Calemberg;Jérôme;;;;
Calzado;Joseph;;;;
Camel, Kamel;George Joseph;;;;
Campion;Le Bienheureux Edmond;x;;;
Campion, Campiano;Jean Antoine;;x;;
Campos;Emmanuel de;;;;
Canas;Joseph da;;;;
Canonici;Matthieu Aloys;x;;;
Capasso;Dominique;;x;;
Capece;Ascagne;;;;
Capittel;André;;x;;
Caprini;Jean Antoine;;x;;
Caracioli;Jean;;;;
Carboni;Jean-Baptise;;;;
Cardell;François;;;;
Carl;Joseph;;;;
Casati;Paul;;x;;
Casini;Antoine;x;;;
Cassal;Pierre de;;;;
Cassani;Joseph;;x;;
Casseda;Pierre Xavier;;;;
Castel;Louis Bertrand;;x;;
Castello-Branco;Antoine de;;;;
Castner;Gaspar;;x;;
Castori;Bernardin;;;;
Castro;Augustin;x;;;
Castro;Melchior de;;;;
Catalano;Pierre;x;;;
Catenius;Othon;;;;
Catrou;;x;;;
Cavallery;Antoine;;;;
Cavina;Virgile;;;;
Caydel;Antoine;;;;
Cayron;Pierre Jean;;x;;
Cazre;Pierre de;;;;
